time	rmse	false positive	false negative
14.898	0.011119	0	0
14.914	0.011186	0	0
14.931	0.010805	0	0
14.948	0.010850	0	0
14.964	0.010962	0	0
14.981	0.010908	0	0
14.998	0.011114	0	0
15.015	0.011372	0	0
15.031	0.011702	0	0
15.048	0.011454	0	0
15.065	0.011705	0	0
15.081	0.012628	0	0
15.098	0.011739	0	0
15.115	0.011596	0	0
15.131	0.012455	0	0
15.148	0.011699	0	0
15.165	0.011160	0	0
15.181	0.011304	0	0
15.198	0.011097	0	0
15.215	0.011035	0	0
15.231	0.011601	0	0
15.248	0.011341	0	0
15.265	0.011929	0	0
15.281	0.011753	0	0
15.298	0.011021	0	0
15.315	0.011420	0	0
15.331	0.011237	0	0
15.348	0.011474	0	0
15.365	0.012269	0	0
15.382	0.012946	0	0
15.398	0.013305	0	0
15.415	0.014290	0	0
15.432	0.014924	0	0
15.448	0.014657	0	0
15.465	0.014452	0	0
15.482	0.014003	0	0
15.498	0.013713	0	0
15.515	0.012799	0	0
15.532	0.012717	0	0
15.548	0.012611	0	0
15.565	0.012872	0	0
15.582	0.012497	0	0
15.598	0.012397	0	0
15.615	0.012170	0	0
15.632	0.012521	0	0
15.648	0.012213	0	0
15.665	0.012186	0	0
15.682	0.012605	0	0
15.699	0.012327	0	0
15.715	0.011971	0	0
15.732	0.011847	0	0
15.749	0.011586	0	0
15.765	0.011150	0	0
15.782	0.011462	0	0
15.799	0.011417	0	0
15.815	0.011662	0	0
15.832	0.012449	0	0
15.849	0.012597	0	0
15.865	0.012995	0	0
15.882	0.012990	0	0
15.899	0.012643	0	0
15.915	0.012343	0	0
15.932	0.012254	0	0
15.949	0.011464	0	0
15.965	0.011695	0	0
15.982	0.011494	0	0
15.999	0.011578	0	0
16.016	0.011682	0	0
16.032	0.012380	0	0
16.049	0.012466	0	0
16.066	0.012517	0	0
16.082	0.012059	0	0
16.099	0.011927	0	0
16.116	0.011956	0	0
16.132	0.011768	0	0
16.149	0.011693	0	0
16.166	0.012230	0	0
16.182	0.012354	0	0
16.199	0.012396	0	0
16.216	0.012548	0	0
16.232	0.012983	0	0
16.249	0.012456	0	0
16.266	0.012482	0	0
16.282	0.011961	0	0
16.299	0.011922	0	0
16.316	0.011788	0	0
16.332	0.011743	0	0
16.349	0.011365	0	0
16.366	0.011996	0	0
16.383	0.012289	0	0
16.399	0.012050	0	0
16.416	0.012053	0	0
16.433	0.011965	0	0
16.449	0.011375	0	0
16.466	0.010820	0	0
16.483	0.010305	0	0
16.499	0.010555	0	0
16.516	0.011251	0	0
16.533	0.011671	0	0
16.549	0.012135	0	0
16.566	0.013302	0	0
16.583	0.013111	0	0
16.599	0.013403	0	0
16.616	0.013433	0	0
16.633	0.013005	0	0
16.649	0.012589	0	0
16.666	0.012627	0	0
16.683	0.012243	0	0
16.700	0.012272	0	0
16.716	0.012446	0	0
16.733	0.012462	0	0
16.750	0.013115	0	0
16.766	0.013868	0	0
16.783	0.013555	0	0
16.800	0.013791	0	0
16.816	0.013672	0	0
16.833	0.013114	0	0
16.850	0.011797	0	0
16.866	0.011825	0	0
16.883	0.011430	0	0
16.900	0.011154	0	0
16.916	0.010876	0	0
16.933	0.011429	0	0
16.950	0.011549	0	0
16.966	0.011535	0	0
16.983	0.012109	0	0
17.000	0.012926	0	0
17.017	0.012767	0	0
17.033	0.012510	0	0
